title,content,link
"온난화에 빨라진 봄축제…진해군항제, 역대 가장 빨리 개막","진해군항제. 창원시 제공 올해로 62회를 맞는 진해군항제가 일주일 가까이 시기가 앞당겨 열린다. 올해 군항제는 오는 3월 22일 전야제 행사를 시작으로 4월 1일까지 열흘간 진해구를 중심으로 경남 창원시 전역에서 개최할 예정이다. 올해 축제는 역대 축제 중 가장 이른 시기에 열리는 셈이다. 통상 군항제는 4월 1일을 전후로 개막해왔지만, 지구온난화 등의 영향으로 매년 벚꽃 피는 시기가 조금씩 앞당겨지면서 개최 시기가 갈수록 빨라져왔다. 이충무공선양 군항제위원회 박성훈 사무국장 ""기존의 4월 1일부터 열흘동안 이어졌던 군항제는 날씨와 기후 온난화때문에 벚꽃이 빨리피는 이유로 저희가 군항제 행사를 앞당겼다""고 말했다. 그동안 축제 주최 측은 꽃없는 축제를 우려하며 매년 봄꽃 개화시기에 맞춰 축제 일정을 짜느라 애를 태워 왔다. 양산 원동매화축제. 양산시 제공 진해군항제뿐 아니라 다른 봄꽃을 주제로 한 축제 시기도 빨라지고 있다. 기후변화가 봄축제 시기에도 영향을 주고 있는 셈이다. 올해 3월 9일부터 17일까지 열리는 경남 양산의 대표 봄 축제인 원동매화축제도 코로나 이전 마지막으로 개최한 2019년보다는 일주일 정도 빨라졌다. 지난해 4월 13일부터 16일까지 경남 창녕 남지 낙동강 유채꽃 단지 일원에서 열렸던 '창녕 낙동강 유채축제'도 올해는 이틀 빨라진 4월 11일부터 14일까지 같은 장소에서 열린다. 전국의 대다수 지자체와 축제 주최 단체도 개화시기에 맞춰 축제 개최 시기를 조율하기 위해 기온변화를 예의주시하고 있는 등 비슷한 고민을 하고 있다. 기상청과 산림청 등에 따르면 실제로 올해 벚꽃 개화 시기는 평년보다 짧게는 1일, 길게는 일주일 넘게 빠를 것으로 보인다. 제주가 가장 이른 3월 20일쯤 개화하고 전주(3월 22일), 부산과 울산(3월 24일), 여수와 포항(3월 25일), 대전(3월 27일), 강릉(3월 30일) 등의 순으로 볼 수 있을 전망이다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요. 이메일 : jebo@cbs.co.kr 카카오톡 : @노컷뉴스 사이트 : https://url.kr/b71afn",https://n.news.naver.com/mnews/article/079/0003864637?sid=102
구름에 소금물 뿌려 지구 온도 낮춘다…온난화 늦추는 '이 기술',"구름 밝게 해서 햇빛 반사…바다 온도 낮춰 역효과 우려도…“자연 간섭 신중해야” 지구온난화가 걷잡을 수 없는 속도로 진행되는 가운데, 한 연구팀이 구름에 소금물을 분사해 이산화탄소 배출량을 줄일 수 있는 방법을 연구 중인 것으로 알려졌다. 최근 월스트리트저널(WSJ)은 호주 서던크로스대학교를 중심으로 많은 환경 보호 단체와 학술 기관들이 일명 ‘해양 구름 미백’ 연구 프로젝트를 진행 중이라고 보도했다. 소금물을 뿌려 구름을 더 밝게 만들어서 햇빛을 반사, 해수면을 그늘지게 함으로써 바닷물 온도를 낮추는 방식이 핵심이다. 이는 소금물 혼합물이 구름에 닿으면 구름 면적이 더 커지고 밝기도 높아지는 원리를 이용한 것이다. 워싱턴대학교 연구팀에 따르면 소금물을 지구 구름의 20%에만 분사해도 지구 전체를 섭씨 2~3도가량 냉각시킬 수 있다. 서던크로스대학에서 공개한 해양 구름 미백 발전기의 모습. [사진=월스트리트저널] 해당 실험은 온난화로 인해 산호가 대량 폐사하는 호주 북동부 산호초 지대 ‘그레이트 베리어 리프’ 근방에서 산호초 복원 프로젝트의 일환으로 이달 이루어졌다. 연구진들은 고압 노즐이 장착된 발전기를 통해 소금물 혼합물을 바다 위에 형성된 저고도 구름에 분사했다. 외신은 “올해 호주, 미국 그리고 이스라엘에서만 진행되는 실험이 세계로 배포되기 위해서는 국제적인 협력이 필요하고, 막대한 비용이 소요될 것”이라고 전했다. 다만 역효과를 우려하는 의견도 있다. 플로리다 주립대학교 기상학 및 환경과학 조교수인 마이클 다이아몬드는 구름 미백 실험에 대해 “그게 구름 위에 머물 수 있을지, 변화를 가져올 만큼 충분히 밝아질 수 있을지 의문”이라고 지적했다. 댄 요르겐센 덴마크 글로벌 기후 정책 담당 장관도 실험 진행에 신중해야 한다는 의견을 밝혔다. 그는 “우리가 자연을 간섭하기 시작하면 통제할 수 없고 예측할 수 없는 부정적인 결과를 초래할 위험이 있다”고 말했다.",https://n.news.naver.com/mnews/article/277/0005381139?sid=104
‘가스’라이팅에 속끓는 지구,"생태계 파괴하는 이상기후 때이른 봄꽃·치솟는 밥상물가 엘니뇨 빈번 겨울이 사라진다 2023년은 지구 역사상 가장 뜨거운 해였다. 한반도 역시 관측 이래 가장 높은 연평균 기온을 기록하며 기후 역사를 다시 썼다. 해는 바뀌었지만 ‘끓어오른 지구’가 보내는 경고음은 여전하다. 때 이른 봄날씨처럼 이상기후는 더 자주, 더욱 예상치 못한 형태로 찾아올 것으로 예상된다. 이제는 더운 날씨 하나로 기후 위기를 설명할 수 없는 만큼 기후재난 대응체계를 갖추는 데 속도를 높여야 한다는 지적이 나온다. 관측 이래 최고…식지 않는 한반도 16일 기상청의 ‘2023년 연 기후분석’ 결과를 보면 지난해 한국의 연평균 기온은 13.7도였다. 기상 관측이 시작된 1973년 이후 가장 높은 수치다. 종전 1위였던 2016년(13.4도)보다 0.3도 높고 평년(12.5도)과 비교하면 1.2도나 상승했다. 역대 연평균 기온을 살펴보면 최근 5년(2019~2023년)이 10위권 안에 전부 들어 있다. 그만큼 한국이 짧은 주기로 최고기온을 경신하고 있다는 의미다. 지난해에는 12개 달 중 무려 9개 달이 평년보다 기온이 높았다. 특히 3월은 평년보다 3.3도 이상, 9월은 평년보다 2.1도 이상 더운 날씨를 보였다. 바다의 상황도 마찬가지다. 지난해 우리나라 해역 해수면 온도는 연평균 17.5도로 최근 10년 사이 두 번째로 높았다. 국립수산과학원이 인공위성을 이용해 조사한 한반도 해역 표층 수온 통계에선 이보다 높은 연평균 19.8도를 기록했다. 1990년 관련 조사를 시작한 이래 최고치이자 최근 20년 평균 표층 수온보다 0.6도나 높은 수치다. 과일값 고공행진…오징어도 급감 극심했던 이상기후는 밥상물가에도 영향을 미치고 있다. 특히 올해 설 연휴를 앞두고 과일값이 폭등하면서 인플레이션을 끌어올리는 주범이 됐다. 잦은 비와 이상고온, 병해충으로 생산량이 급감한 탓이다. 통계청의 ‘1월 소비자물가 동향’에 따르면 신선과일은 28.5% 올라 2011년 1월(31.9%) 이후 가장 큰 폭으로 상승했다. 이 가운데 사과와 배 물가는 각각 전년 동월 대비 56.8%, 41.2% 급등했다. 비교적 서늘한 기후에서 자라는 사과·배는 기후 변화에 취약한 대표적 품종이다. 농촌진흥청은 기후 변화로 2070년에는 강원도 일부 지역에서만 사과를 재배할 수 있을 거라는 분석을 내놓기도 했다. 바다 수온이 높아지며 어업 피해도 만만치 않다. 지난해 오징어 어획량은 2만3493t으로 전년보다 36% 감소했다. 최근 5년 평균과 비교하면 54%나 줄었다. 이상기후 중 고수온으로 인한 연근해의 양식업계 피해는 2011년부터 지난해까지 1250억원에 달한다. 한 달 빠른 초고속 봄꽃…생태계 혼란 올해 벌써 새 기록을 쓴 기후 현상도 있다. 제주에선 지난달 15일 봄을 알리는 매화가 처음 개화했다. 평년보다 32일이나 이른 시점이었다. 나무의 꽃이 80% 이상 개화하는 ‘만발’ 시점도 평년보다 46일 빨랐다. 성급한 봄날씨에 맞춰 벚꽃 개화도 평년보다 하루 혹은 일주일 넘게 빨라질 것으로 예상된다. 자연히 지역별 봄꽃축제도 일제히 앞당겨질 전망이다. 경남 창원시는 올해 62회를 맞은 진해 군항제를 3월 22일 개막하기로 했다. 1963년 1회 당시 4월 5일 개막한 것과 비교하면 16일이나 당겨진 셈이다. 전문가들은 겨울이 짧아질수록 개화 시기와 곤충이 깨어나는 시기가 어긋나며 동식물의 먹이사슬이 깨지는 ‘생태적 불일치(ecological mismatch)’가 일어날 수 있다고 우려한다. 동면에서 깨어난 벌이 꿀을 모을 수 있는 기간이 줄어드는 것이다. 기상청은 온실가스를 줄이지 않으면 21세기 후반기에 ‘2월 벚꽃’도 볼 수 있을 것으로 예상한다. 엘니뇨로 더 복잡해지는 기후 예측 기후 변화는 올해 더 예측할 수 없는 상황으로 전개될 것으로 보인다. 그 원인 중 하나가 지난해 5월부터 지속된 ‘엘니뇨’ 현상이다. 엘니뇨는 열대 동태평양 해수면 온도가 6개월 이상 평년보다 높은 현상을 말한다. 엘니뇨 감시 구역의 해수면 온도는 지난해 7월 평년 대비 1도 올랐고, 이후 지속 상승해 12월에는 2.1도까지 높아졌다. 세계기상기구(WMO)는 올해 4월까지 엘니뇨가 지속되고, 그 여파로 지난해보다 2024년의 기온이 더 높아질 수 있다고 보고 있다. 한반도의 경우 엘니뇨의 직접적 영향을 받는 지리적 위치는 아니다. 다만 엘니뇨 시기에는 일본에 고기압이 발달하고, 남쪽에서 수증기가 유입돼 한국의 겨울철 기온이 평년보다 높아지는 경향을 보인다. 지구온난화에 엘니뇨가 더해져 전 지구적 ‘변수’로 작용할 가능성도 있다. 바다가 더워지면 수증기의 양이 많아지고 그만큼 태풍의 위력도 커진다. 북극의 온난화를 가속해 제트기류가 약해지면 한반도에 한파가 불어닥치기도 한다. 엘니뇨가 지구의 대기와 해류 흐름을 바꿔 한국에도 평소와 다른 형태의 이상기후를 불러올 수 있는 것이다. 정수종 서울대 환경대학원 교수는 “물이 끓을 때 물방울이 여기저기서 폭발적으로 터지듯 현재 기후도 90도에서 물이 끓는 100도 시스템으로 바뀌어 산발적으로 이상기후가 일어나고 있다”며 “앞으로의 기후 상황은 사실상 예측이 어렵고 기후 변화가 심해질 것이라는 사실만 분명하다”고 말했다. 정 교수는 이어 “특정 해에 폭염이 심하지 않더라도 장마나 가뭄은 더 극심해질 수 있다”며 “현 시점에서 기후재난 피해를 줄이기 위해선 예측보다는 모니터링을 통한 대응 시스템을 빨리 구축하는 것이 중요하다고 본다”고 했다.",https://n.news.naver.com/mnews/article/005/0001674635?sid=102
"""지구 열대화 시대에 대처하는 경제학적 생존 전략 7가지""","[신간] '빅 픽스' '빅 픽스'(알레 제공) (서울=뉴스1) 김정한 기자 = ""지구 온난화 시대는 끝났다. 지구 열대화 시대가 도래했다."" 2023년 7월, 유엔 사무총장 안토니우 구테흐스가 유럽연합(EU) 기후변화감시기구가 발표한 관측 결과를 보고 이런 평가를 했다. 기후 재난이라는 최악의 피해에 맞서고, 인류와 미래 세대를 엄청난 고통으로부터 구할 방법이 있을까? 이 책은 경제적 발전을 유지하면서도 기후 재난이라는 최악의 피해에 맞설 방법이 무엇인지에 대한 답을 제시한다. 경제적, 기술적, 정치적 복잡성을 깊이 이해하고 노력해 온 결과들을 집대성한 내용을 담았다. 공저자 중 저스틴 길리스는 '뉴욕타임스'에서 기후 과학 분야 전문 기자로 활동했다. 핼 하비는 조지 부시, 빌 클린턴 전 미국 대통령의 에너지위원회 등 정부 부처, 연구소, 기관 등에서 청정에너지로의 전환을 촉진해 온 에너지 정책 자문가다. 이들은 △청정 전력 △청정 건축 △청정 연료 △청정 도시 △청정 지대 △청정 산업 △신기술 등 7가지 주제를 경제 이론을 토대로 한 행동 강령을 제시한다. 개인과 시민은 물론 정부와 국가, 더 나아가 전 세계가 기후 위기에 객관적이고 구체적이며 체계적으로 대응하도록 하는 실천 방안이다. 이 책은 무지, 타성, 정치적 무능력의 불길한 조합이 에너지 전환과 탈탄소를 향한 발걸음을 저해하고 있음을 규탄한다. 아울러 과거에 저질렀던 실수를 되풀이하는 일이 없도록 지체 없이 행동으로 보여줄 것을 강하게 촉구한다. ◇ 빅 픽스/ 저스틴 길리스·핼 하비 글/ 이한음 옮김/ 알레/ 2만3000원",https://n.news.naver.com/mnews/article/421/0007357458?sid=103
"한계 온 '지구의 허파'…""복원 불가능할수도""","지구 생태계와 기후에 매우 중요한 역할을 해 '지구의 허파'로 불리는 아마존 열대우림이 2050년께에는 생태계 복원이 불가능한 '전환점'을 맞아 급격히 붕괴할 수 있다는 우려가 나왔다. 14일(현지시간) 영국 일간 가디언에 따르면, 브라질 산타카타리나 대학 연구진은 이런 내용의 논문을 최근 과학 저널 네이처에 발표했다 연구진은 지구 온난화, 강수량, 계절에 따른 강우 강도, 건기 기간, 삼림 벌채 등 아마존에 '스트레스'를 주는 5가지 요인의 추세를 분석했다 그 결과 아마존이 회복을 기대할 수 있는 이른바 '안전한 경계'를 넘어서 훼손되고 있으며, 2050년이 되면 아마존의 10∼47%가 티핑포인트(작은 변화로 큰 변화를 가져오는 지점)에 도달할 수 있다는 결론을 도출했다. 기존 연구에서는 아마존 우림의 20∼25%가 벌목으로 훼손되면 티핑 포인트가 올 수 있다고 전망했으나, 이번 연구에서는 숲이 훼손 규모가 이미 25%를 넘어선 것으로 제시됐다. 숲의 15%는 이미 사라졌고 17%는 벌목과 화재 등 인간 활동으로 훼손된 상태이며, 지난 10년간의 장기 가뭄으로 아마존의 38%가 추가로 약화했을 가능성이 있다는 것이다. 논문의 주저자인 베르나르도 플로레스는 숲이 더 약해지고 균질화되고 있다면서 ""2050년이 되면 변화 속도가 더 빨라지기 때문에 지금 대응해야 한다. 티핑 포인트를 지나면 우리는 시스템을 통제할 수 없게 될 것""이라고 말했다. 연구진은 아마존이 현재 화재에도 매우 취약한 상태라고 지적했다. 건기 기온은 이미 아마존 중부와 남부 지역에서 40년 전보다 2도나 높다. 그런데 컴퓨터 모형화에 따르면, 2050년까지 연간 최고 기온은 2∼4도 상승하고 건조한 날도 지금보다 10∼30일 더 많아질 것으로 예상됐다. 논문은 이런 환경 변화로 인해 ""숲과 지역 주민들이 잠재적으로 견딜 수 없는 더위에 노출될 것""이라며 아마존의 산림 생산성과 탄소 저장 능력이 감소할 것으로 예측했다. 논문은 1980년대 초부터 아마존 중앙과 주변부가 건조해지고 서부와 동부 지역이 습해지고 있는 강우 차원의 변화에 대해서도 주목했다. 이 추세가 계속된다면 일부 지역은 사바나(열대초원)가 되고 나머지 아마존은 황폐해진 상태로 유지될 가능성이 높은 것으로 분석됐다. 지구 육상생물의 10% 이상이 서식하고 있는 아마존은 지구가 15∼20년간 배출한 이산화탄소를 저장하고 남미 전역에 비를 뿌리는 등 매우 중요한 역할을 하고 있다. (사진=연합뉴스)",https://n.news.naver.com/mnews/article/215/0001148567?sid=104
밸런타인데이 초콜릿 '금값' 되나…온난화로 코코아값 급등,"서아프리카 가뭄 이어 폭우…공급 부족 코코아 선물가격 전월대비 30% 폭등 밸런타인데이에 초콜릿 구매하는 시민 / 사진 = MBN 지구온난화에 따른 기상이변으로 초콜릿의 주 원료인 코코아 가격이 급등하면서 초콜릿 가격도 덩달아 오른 것으로 알려졌습니다. 현지 시간 12일, 미 CNN에 따르면 미국 ICE 선물거래소에서 거래된 코코아 선물 가격은 10톤당 5,583달러(742만 원)으로 연초 보다 30% 급등했습니다. 이로 인해 소매가격도 덩달아 뛰면서 북미지역에서 생초콜릿 가격도 지난해보다 13% 올랐다고 CNN은 전했습니다. 코코아 가격이 이처럼 급등한 이유는 바로 지구온난화에 따른 이상기후 현상 때문입니다. 전 세계 코코아 생산량의 60% 이상을 차지하는 코트디부아르와 가나 등 서아프리카의 코코아 생산국들은 지난해 심각한 가뭄을 겪으면서 생산량이 급감했습니다. 더구나 올해 들어서는 연초부터 내린 폭우로 검은코투리병이라는 전염병이 돌면서 코코아 수급 부족 문제가 더욱 심각해졌습니다. 코트디부아르 정부가 코코아 유출을 막기 위해 한동안 수출 계약을 잠정 중단시키면서 손실은 5억 2,900만 달러(약 7,033억 원)에 달할 정도라고 CNN은 전했습니다. 업계에서 소매 초콜릿 가격이 2년 동안 약 17% 오른 데 이어 올해에도 가격이 급등할 것이라고 예측하는 가운데, 초콜릿 매출이 줄어들까 우려하는 업계의 목소리도 커지고 있습니다. 일단 올해 밸런타인데이 초콜릿 소비는 지난해보다 크게 꺾이진 않을 것으로 전망됩니다. 미국 제과협회의 설문조사에 따르면 미국인의 약 92%가 올해 밸런타인데이에 초콜릿, 사탕 등을 구매해 선물할 계획이라고 답했습니다. 관련 업계에서는 지난해 밸런타인데이 특수 때 매출인 40억 달러 수준을 유지하거나 조금 더 많아질 것을 기대하고 있습니다. 그러나 코코아 가격 상승세가 장기화될 경우, 생산단가 급등 문제로 업계는 큰 어려움을 겪을 것으로 보입니다. 초콜릿 전문 기업 허쉬의 미셸 벅 최고경영자(CEO)는 지난 11일 코코아 수급 문제로 인력 감축 5%를 단행하겠다고 밝힌 바 있습니다.",https://n.news.naver.com/mnews/article/057/0001799117?sid=102
"""구름에 소금 뿌려 지구온난화 늦춘다""…호주 산호초 복원 진행","호주 서던크로스대 연구진, '해양 구름 미백' 프로젝트 넓고 밝아진 구름으로 햇빛 반사…해수면 그늘 만들어 덴마크 글로벌기후정책 장관 ""자연 간섭은 신중해야"" [서울=뉴시스] 호주 서던크로스대학교 연구팀 등 연구진들이 지구온난화 속도를 늦추기 위한 방안으로 새로운 '해양 구름 미백' 프로젝트에 도입해 연구 중이라고 14일(현지시간) 월스트리트저널(WSJ)가 보도했다. 사진은 서던크로스대학에서 공개한 해양 구름 미백 발전기의 모습. (사진=WSJ) 2024.02.15. *재판매 및 DB 금지 [서울=뉴시스]이수민 인턴 기자 = 지구온난화가 빠르게 진행되면서 재난이 잇따르고 있는 가운데, 이산화탄소 배출을 줄일 수 있는 방법으로 일명 '해양 구름 미백' 연구 프로젝트가 진행 중이라고 한 연구팀이 밝혔다. 14일(현지시간) 월스트리트저널(WSJ)에 따르면 호주 서던크로스 대학교를 중심으로 많은 환경 보호 단체와 학술 기관들이 참여한 이 프로젝트는 구름을 더 밝게 만듦으로써 구름이 햇빛을 반사해 해수면을 그늘지게 함으로써 바닷물 온도를 낮추는 방식으로 진행된다. 해당 실험은 산호초 복원 프로젝트의 일환으로, 온난화로 인해 산호가 대량 폐사하는 호주 북동부 산호초 지대 '그레이트 베리어 리프' 근방에서 이루어진다. 이달 진행된 실험에서 연구진들은 고압 노즐이 장착된 발전기를 통해 소금물 혼합물을 바다 위에 형성된 저고도 구름에 분사했다. 소금물 혼합물이 구름에 닿으면 구름 면적이 더 커지고 밝기도 높아지는 원리를 이용했다. 워싱턴대학교 연구팀에 따르면 소금물을 지구 구름의 20%에만 분사해도 지구 전체를 섭씨 2~3도 가량 냉각시킬 수 있다. 올해 호주, 미국 그리고 이스라엘에서만 진행되는 실험이 세계로 배포되기 위해선 국제적인 협력이 필요하고 막대한 비용이 소요될 것이라고 외신은 전했다. 역효과를 의식하는 의견들도 나타나고 있다. 플로리다 주립대학교 기상학 및 환경과학 조교수인 마이클 다이아몬드는 구름 미백 실험에 대해 ""그게 구름 위에 머물 수 있을지, 변화를 가져올만큼 충분히 밝아질 수 있을지 의문이다""고 지적했다. 댄 요르겐센 덴마크 글로벌 기후 정책 담당 장관은 ""자연을 간섭하기 시작하면 우리가 통제할 수 없고 예측할 수 없는 매우 부정적인 결과를 초래할 위험이 있다""며 실험 진행에 신중해야 한다는 의견을 밝혔다．",https://n.news.naver.com/mnews/article/003/0012375640?sid=104
북극곰 기아 위기…온난화 육지 살이에 하루 체중 –1kg,AP 북극곰이 지구 온난화로 해빙 대신 육지 살이를 하면서 매일 체중이 1kg씩 줄어드는 기아 위기에 직면하고 있는 것으로 나타났다. 14일 과학 저널 네이처 커뮤니케이션에는 이러한 내용의 연구 결과가 게재됐다. 연구를 진행한 미국 지질조사국(USGS) 앤서니 파가노 박사팀은 캐나다 매니토바주 서부 허드슨만 지역 북극곰 20마리를 대상으로 여름철 활동 및 신체 변화 등을 추적했다. 이에 따르면 북극곰은 북극해 해빙이 녹으면서 육지에 사는 기간이 늘어났다. 이로 인해 주 먹이인 바다표범 등 지방이 많은 먹잇감을 사냥하지 못한 북극곰들의 체중이 감소했다. 이러한 현상이 일어나는 기간은 늦봄부터 초여름까지이다. 이 기간은 새끼를 낳아 젖을 떼는 기간이기도 하다. 북극곰은 해빙이 없는 기간 동안 육지에서 생활하며 에너지 절약을 위해 동면 상태처럼 지내는 습성을 갖고 있다. 이 기간 동안 북극곰은 생존을 위해 열량이 높지 않은 육지 식물 및 동물을 사냥해 먹기도 한다. 북극곰들은 육지에서 개채별 다양한 차이를 보였지만 모두 겨울나기에 필요한 지방 등 열량을 많이 함유한 먹이를 구하는 데 어려움을 겪었다. 이로 인해 20마리 중 19마리로부터 일 평균 체중이 1㎏씩 감소한 것으로 확인됐다. 파가노 박사는 “육지의 먹이가 북극곰에게 약간의 도움이 됐겠지만 궁극적으로 북극곰들은 이런 먹이를 얻기 위해 더 많은 에너지를 소비해야 했다”고 설명했다. 연구팀은 “해빙이 없는 동안 북극곰이 육지에서 먹이를 찾는 것은 굶주림을 피하는 데 큰 도움이 되지 않는다”라고 강조했다. 그러면서 “지구 온난화가 심해져 해빙이 줄어들수록 북극곰이 기아에 직면할 위기도 더 커질 것”이라 전망했다.,https://n.news.naver.com/mnews/article/022/0003904075?sid=104
온난화로 대구서 천혜향·레몬 첫 수확,[KBS 대구]대구에서 역대 처음으로 천혜향과 레몬이 수확됐습니다. 대구시 농업기술센터는 동구 숙천동의 과수 농가에서 천혜향과 레몬을 수확했다며 지구 온난화로 작물 재배 한계선이 북상해 이들 과일의 재배가 가능해졌다고 설명했습니다. 농업기술센터는 2017년부터 아열대 작물을 시험 재배하고 있으며 현재 6개 농가가 감귤과 한라봉 등의 시범재배에 참여하고 있습니다.,https://n.news.naver.com/mnews/article/056/0011661331?sid=101
지구온난화에도 10년간 국내 한랭질환자 4000명 넘어,"저체온증·동상·동창·침수병 등 2022년 겨울에도 447명 신고 질환자 43.3%가 65세 이상 “고령자들, 이상 기온 주의해야” 설 명절 연휴 마지막 날인 12일 서울 송파구 롯데월드 어드벤처를 찾은 시민들이 즐거운 시간을 보내고 있다. 연합뉴스 지구온난화에도 불구하고 국내 겨울철 한랭질환자는 매년 지속적으로 발생해 10년간 4000명을 넘어선 것으로 나타났다. 지난 겨울에도 사망자 12명을 포함해 447명의 한랭질환자가 발생했는데, 남성이 여성보다 배 이상 많았고, 열 명 중 네 명은 65세 이상이었다. 12일 질병관리청에 따르면 2013~2014 절기부터 2022~2023 절기까지 한랭질환 응급실감시체계를 운영한 결과 10년간 한랭질환자는 4158명, 한랭질환으로 인한 추정 사망자는 106명으로 집계됐다. 질병관리청은 매년 12월부터 다음 해 2월까지 겨울철 전국 500여 개 응급실 운영 의료기관을 대상으로 저체온증, 동상, 동창, 침수병, 침족병 등 한랭질환 신고를 받아 발생 현황을 모니터링한다. 올 겨울에도 지난해 12월부터 이달 8일까지 334명이 발생했고, 이 중 10명이 사망했다. 지난 겨울(2022년 12월~2023년 2월) 통계를 보면 한랭질환자는 447명, 이 중 사망자는 12명이었다. 전년 대비 49.0%(147명) 증가했다. 지난해 1월 하순에 겨울 동안 가장 낮은 기온을 보였는데, 전체 감시 기간 발생한 한랭질환자의 4분의 1(25.7%)이 이 기간에 집중됐다. 지난 겨울 한랭질환자의 인구학적 특성을 보면 성별은 남성(303명, 67.8%), 연령은 80세 이상(102명, 22.8%), 직업은 무직(151명, 33.8%)이 많았다. 발생 시간은 하루 내내 분포했지만, 특히 오전 6~12시에 전체 환자의 31.3%(140명)가 발생했다. 발생 장소는 길가(111명, 24.8%)가 가장 많았고, 다음은 주거지 주변(67명, 15.0%), 집(66명, 14.8%) 순이었다. 질환별로는 저체온증(300명, 67.1%)이 가장 많았다. 또, 전체 환자 중 19.7%(88명)는 내원 시 음주 상태였다. 특히 노년층에서 질환자와 사망자가 많았다. 지난 겨울 한랭질환자의 43.3%는 65세 이상이었고, 추정 사망자의 83%는 기저질환을 가진 65세 이상이었다. 질병관리청은 지구온난화에도 겨울철 이상 기온 현상이 계속해서 국민 건강에 영향을 미칠 수 있어 지속적인 모니터링과 평가가 필요하고, 노년층 대상으로 건강수칙을 세분화하고 지자체 등과 함께 적극적으로 대응해야 한다고 진단했다. 한랭질환을 예방하려면 실외 활동을 자제하고 모자, 목도리, 장갑 등을 이용해 보온에 대비해야 한다. 체온 유지에 취약한 노년층과 어린이, 심뇌혈관질환, 당뇨병, 고혈압 등 만성질환자는 더 주의한다. 술을 마시면 추위를 인지하지 못해 위험할 수 있으므로 과음을 피하는 게 좋다.",https://n.news.naver.com/mnews/article/082/0001255222?sid=103
