title,content,link
"""중소기업 탄소중립 전환""…중진공, 128억 지원나선다","2024 탄소중립 전환지원 사업 참여기업 모집 100여개사에 탄소감축 설비구축…128억 지원 [서울=뉴시스] 중소벤처기업진흥공단 전경. (사진=뉴시스DB) photo@newsis.com [서울=뉴시스]이수정 기자 = 중소벤처기업진흥공단(중진공)은 중소벤처기업의 탄소중립 전환에 필요한 설비를 지원하는 '중소기업 탄소중립 전환지원' 사업 참여기업을 모집한다고 19일 밝혔다. 기한은 이날부터 내달 8일까지다. '중소기업 탄소중립 전환지원' 사업은 자발적으로 저탄소 공정전환을 진행하는 중소벤처기업에 실시설계 컨설팅, 탄소저감 설비도입 등을 일괄 지원해 기업의 실질적 탄소감축을 뒷받침한다. 실시설계 컨설팅은 기업의 탄소배출량을 측정하고, 공정을 분석해 단계별 탄소감축 방안을 제시한다. 탄소저감 설비도입은 해당 설비 구입비의 70%, 최대 3억원 이내로 정부보조금을 지원한다. 중진공은 국내 산업부문 탄소배출량의 31%이상을 차지하는 중소기업의 탄소감축 중요성을 인식해 전년대비 지원규모를 2배 확대해 총 128억원 규모로 100여개 기업에 탄소저감 설비도입을 지원할 예정이다. 중진공 탄소중립 전환지원 사업 신청·접수에 대한 자세한 내용은 중소기업 ESG·탄소중립 통합플랫폼에서 확인 가능하다. 강석진 이사장은 ""중소기업의 탄소중립전환 지원 전문기관으로서 자금력이 부족한 중소벤처기업의 선제적인 저탄소 공정전환을 적극 지원하겠다""며 ""앞으로도 중소벤처기업과 함께 2030 국가 온실가스 감축목표(NDC)를 달성하기 위해 다양한 지원정책을 추진하겠다""고 말했다．",https://n.news.naver.com/mnews/article/003/0012379281?sid=101
"GIST 송철한 교수, ‘초미세먼지·기후변화·탄소중립’ 국가정책 제언","[헤럴드경제=구본혁 기자] 해결책 마련이 시급한 우리나라의 초미세먼지 문제와 기후변화 대응, 에너지 전환의 문제를 종합적으로 다루기 위해선 한반도의 특수한 상황에 대한 과학적 접근이 필요하다. 이를 위한 대기환경 전문가의 해설서가 발간되어 관심을 모으고 있다. 광주과학기술원(GIST)은 지구환경공학부 송철한 교수가 ‘과학을 기반으로 살펴보는 초미세먼지, 기후변화 그리고 탄소중립’을 발간했다고 밝혔다. 저자인 송철한 교수는 “초미세먼지 문제, 기후변화 대응, 탄소중립 사회의 실현 등과 관련해서 우리나라에는 비현실적인 정치적 주장, 관념적인 논의, 유토피아적인 환상 등이 팽배하며, 이들 논의나 사고들은 구체적이지도 과학적이지도 않다”면서 “보다 구체적인 수치와 과학적 사실에 기반해 이해하고 논의하며, 해결책을 모색해야 한다”고 말했다. 이 책은 에너지 대전환, 탄소중립 그리고 초미세먼지 문제를 동시에 해결할 수 있는 에너지-환경 정책을 고찰한다. 하나의 정책은 초미세먼지 저감과 탄소중립의 전략을 포함하는 동시에 훌륭한 에너지 정책이 되기도 한다. 저자는 이를 ‘초미세먼지-기후변화-에너지 정책 연계’라고 부르며, 이와 같이 세 가지 문제를 연계하여 그 해결책에 과학적으로 접근해 보자고 제안한다. 책은 총 3부로 구성, 1부와 2부에서는 초미세먼지와 기후변화 문제를 다룬다. 우리나라에선 매년 초미세먼지로 인해 1만7300명 정도가 조기 사망하는 것으로 추정되고, 그중 절반은 중국에서 한반도로 넘어오는 초미세먼지로 인해 사망한다. 책의 앞부분에서는 이와 같이 환경보건학적 측면에서 매우 큰 영향을 미치고, 동시에 지구의 기후변화에도 큰 영향을 끼치는 아주 작은 먼지인 초미세먼지에 대해 다각도로 살펴본다. 3부에서는 우리나라 에너지 대전환이 갖고 있는 문제점과 함께 에너지 정책, 탄소중립, 원자력 발전 등을 알아본다. 대기환경, 보건, 기후변화, 탄소사회의 해결책으로 많은 사람들이 재생에너지 발전에 대해 이야기를 하지만, 우리나라 재생에너지의 실제 발전 최대 잠재용량은 2019년 기준 국가 전력 발전시설 용량의 대략 70% 정도에 불과할 뿐이다. 이런 사실과 정황을 고려할 때, 우리나라에서 탄소중립이란 과연 달성 가능한 목표인 것일까? 지난 2004년 GIST에 부임한 송철한 교수는 지구환경공학부에서 대기오염과 지구기후환경변화와 관련한 연구를 수행해 왔다. 송 교수는 한국형 대기질 예측 모델링 시스템 개발 및 대기환경 분야의 혁신 기반 구축에 기여한 공로를 인정받아 지난해 국무총리 표창을 수상했으며, 대통령 직속 국가기후환경회의 본회의 위원 및 국가 전략 미세먼지 사업단 단장 등을 수행하는 등 우리나라 대기환경 현안 대응에 기여해 왔다. 현재는 한국대기환경학회 부회장직을 맡고 있기도 하다. 송철한 교수는 “초미세먼지와 탄소중립 문제 해결과 관련한 수소차-수소 경제의 문제점, 탈원전 문제, 사회와 산업의 전기화, 방향족 탄화수소의 보건-환경학적 위험성 등 다양한 주제를 다루고 있다”며 “이 책이 우리 사회가 당면한 여러 문제를 종합적·과학적으로 해결하기 위한 국가정책 수립의 단단한 초석이 되기를 기대한다”고 말했다.",https://n.news.naver.com/mnews/article/016/0002268649?sid=105
[가상발전소 시대]연평균 20% 성장…탄소중립 하려면 '필수',"재생에너지 수급 안정성 보완 ICT 기술로 수요-공급 균형 대정전 방지·효율적 운영에 필요 탄소중립 기조로 태양광, 풍력 등 재생에너지 발전량이 늘어나고 있다. 국내 태양광 발전소만 약 15만개에 달한다. 재생에너지 발전량이 늘어날수록 환경친화적이라고 볼 수 있지만 덩달아 커지는 걱정거리가 있다. 바로 전력의 수요 공급의 균형을 맞추는 작업이다. 2012년 ‘탄소 배출 없는 섬’을 만들겠다고 선언한 제주도를 예로 들 수 있다. 전력 과잉생산 때문에 툭하면 풍력발전기를 멈추기 일쑤다. 이처럼 재생에너지는 자연이 제공하는 깨끗한 에너지 자원이지만, 동시에 날씨에 따라 둘쭉날쭉하는 불안정한 자원이기도 하다. 재생에너지 비중이 높아질수록 탄소배출은 감소하나 전력 과부하로 블랙아웃(대정전)이 우려되고 있다. 가상발전소, 탄소중립 시대 ‘필수’ 불안정한 전력 수급문제에 대한 해결책으로 등장한 게 ‘가상발전소(VPP)’다. 가상발전소는 재생에너지 발전소를 비롯해 에너지저장장치(ESS), 스마트빌딩 등 전력의 공급과 수요를 담당하는 분산 전원을 ICT 기술로 연결하고 관리하는 것을 말한다. 가상발전소는 탄소중립을 위한 재생에너지 전환에 맞춰 빠르게 성장하고 있다. 2022년 약 11억 달러로 평가된 가상발전소 시장 규모는 2029년에는 약 38억달러에 달한다고 전망된다. 연평균 20%가 넘는 성장률을 보이고 있다. 국제에너지기구(IEA)는 신재생에너지 비중이 3%를 넘는 국가들에 발전량 예측 시스템 도입을 권고하는 등 전 세계적으로 가상발전소 시장에 많은 이목이 쏠려있다. 우리 정부도 2034년까지 신재생에너지 발전 비중을 25.8%까지 끌어올린다는 계획을 밝힌 만큼 안정적 전력망 운영을 위해 가상발전소 시장이 커질 것으로 예상된다. ""공공데이터 확대·ICT 연결돼야"" 에너지 IT 소셜벤처 ‘식스티헤르츠’는 국내 가상발전소 관련 기업 중 하나다. 인공지능(AI) 기반으로 재생에너지 발전량을 예측하는 기술을 보유했다. 지난해 말 과학기술정보통신부의 사업을 통해 구름 이동과 같은 대량의 기상 데이터를 실시간으로 분석해 재생에너지 발전량을 예측하는 시스템을 개발했다. 중부발전, SK텔레콤 등에 VPP 서비스를 제공했고, 카카오에는 제주·판교 오피스에 RE100 이행을 지원하기도 했다. 에너지 IT기업 식스티헤르츠의 가상 빅데이터 처리 시스템 구조[이미지 제공=식스티헤르츠] 식스티헤르츠 관계자는 ""재생에너지 발전소, 기상 데이터 등과 관련해 더 많은 데이터들이 공공데이터로 풀리면 좋겠다""며 ""더 많은 공공데이터가 있다면 향후 기후 테크 기업들이 더 많이 나오고, 시장이 발전하는 선순환이 일어날 것""이라고 말했다. 2012년 설립된 메를로랩은 조명기기 등에 반도체 칩을 넣어 스마트빌딩 확산에 일조하고 있다. 메를로랩의 무선통신 기술로 연결된 스마트빌딩은 전력 상황에 따라 실시간으로 전기 사용량을 조절해 또 하나의 가상발전소 역할을 해낼 수 있다. 신소봉 메를로랩 대표는 ""다양한 에너지 자원을 ICT 기술로 통합해 안정성과 예측 가능성을 높이려면 가상발전이 필요하다""고 말했다. 그는 ""재생에너지 발전의 연료라고 할 수 있는 기후와 환경은 각 나라마다 다르다""며 ""지속가능한 재생에너지 발전을 위해선 가상발전과 같이 ‘인터넷과 연결된’ 재생에너지를 보급하는 정책이 필요하다""고 강조했다.",https://n.news.naver.com/mnews/article/277/0005381517?sid=101
"순천시, 2040 탄소중립 위한 어린이통학차량 LPG차 전환지원 시행","19일부터 신청 접수…1대당 500만원 지원 순천시가 ‘2024년 어린이통학차량 LPG차 전환 지원사업’을 19일부터 시행한다./사진제공=순천시 전남 순천시가 오는 2040년 선도적 탄소중립 달성을 위한 수송부문 배출가스 저감사업의 일환으로 '2024년 어린이통학차량 LPG차 전환 지원사업'을 19일부터 시행한다고 밝혔다. 어린이집, 유치원, 학원 등에서 운행하는 어린이 통학차량 가운데 순천시에 등록된 노후 경유차를 폐차하고 LPG어린이 통학차량 신차(9인승 이상 15인승 이하)로 교체할 경우, 1대당 500만원을 지원할 계획이다. 올해 사업량인 6대의 사업비 소진 시까지 선착순으로 지원한다. 지난해와는 달리 올해부터는 시설 또는 시설 대표자가 소유하고 있는 노후 경유차를 폐차하는 조건으로 신차 구입비를 지원한다. 사업 지원을 희망하는 차량 소유자나 시설장은 기후에너지과로 방문 신청 가능하다. 자세한 내용은 시 누리집 '고시/공고'게시판에서 공고문을 확인하거나 기후에너지과로 문의하면 된다. 순천시 관계자는 ""우리 시의 에너지분야 온실가스 배출원의 44%가 도로수송분야로, 순천의 탄소중립 달성을 위해 운행차들의 배출가스 저감 노력이 중요하다""며 ""미세먼지를 줄이고 어린이들의 건강을 보호하기 위해 이번 사업을 시행하는 만큼 어린이집 및 유치원, 학원 등의 많은 신청을 바란다""고 말했다.",https://n.news.naver.com/mnews/article/008/0005000442?sid=102
"창원시 ""현금으로 돌려받는 탄소중립포인트제 참여하세요""","에너지 사용량, 자동차 주행거리, 녹색생활실천 활동실적에 따라 인센티브 지급 창원시 제공 창원특례시가 기후변화 위기 대응을 위한 온실가스 감축을 유도하기 위해 매년 시행하고 있는 탄소중립포인트제의 신규 참여자를 모집한다. 에너지, 자동차, 녹색생활실천 3가지 분야로 나뉜 '탄소중립포인트'는 각 분야별 실적에 따라 인센티브를 현금으로 돌려받는 제도다. 에너지 분야는 전기·수도·가스 사용량 절감, 자동차 분야는 주행거리 감축, 녹색생활 실천 분야는 일상생활 속 탄소중립을 실천(전자영수증 발급, 텀블러 이용 등)하여 인센티브를 지급하고 있다. 인센티브는 에너지분야의 경우 연2회(6월, 12월) 제공하다. 참여자의 과거 1년~2년간 월별 평균 사용량과 현재 사용량을 비교해 5%이상 감축 시 포인트를 부여하는데, 포인트당 최대 2원까지 현금으로 지급하며, 연간 최대 13만 5천 원까지 받을 수 있다. 참여 방법은 누리집(cpoint.or.kr)에 가입하거나 관할 행정복지센터를 방문하여서 신청하면 된다. 자동차 분야는 지역별로 해당 기간에 선착순으로 참여자를 모집한다. 참여 기간 주행거리를 감축했을 경우 실적에 따라 매년 12월 최대 10만 원의 인센티브를 지급한다. 참여방법은 지역별 선착순 모집 기간에 누리집(car.cpoint.or.kr)에 회원가입 후 차량 번호판과 주행거리 계기판 사진 등 증빙자료를 제출하면 된다. 녹색생활실천 분야는 전자영수증 발급·텀블러 및 다회용기 이용·무공해차 대여 등 10가지 실천 항목별 실적에 따라 환경공단에서 직접 매월 말 현금으로 연간 최대 7만 원까지 인센티브를 지급한다. 참여방법은 누리집(cpoint.or.kr/netzero)과 실천 항목별 참여기업 시스템에 회원가입을 하고 포인트를 적립하면 된다. 지난해는 에너지 분야에 10만 1635세대가 11억 4천만원의 인센티브를 받았으며, 2.1만t의 온실가스를 감축했다. 자동차 분야는 1142명이 주행거리를 감축해 8천2백만원의 인센티브를 받았고, 510톤의 온실가스를 감축하는 효과를 냈다. 창원시 정숙이 기후환경국장은 ""기후위기 속에서 효과적인 온실가스 감축을 위해 비산업분야의 자발적 참여가 꼭 필요하다""라면서 ""절약한 만큼 돌려받는 탄소중립포인트제에 많은 시민들의 적극적인 참여를 부탁드린다""라고 말했다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요. 이메일 : jebo@cbs.co.kr 카카오톡 : @노컷뉴스 사이트 : https://url.kr/b71afn",https://n.news.naver.com/mnews/article/079/0003864764?sid=102
"창원시-마산대학교, 1호 탄소지움 캠퍼스 선포","창원시 제공 창원특례시 탄소중립 지원센터와 마산대학교가 기후위기에 대응하고 탄소중립을 실현하기 위해 제1호 탄소지움 캠퍼스를 선포했다. 탄소지움 캠퍼스는, 누비자·대중교통 이용, 다회용기 사용, 디지털 탄소발자국 줄이기(메일비우기, 절전모드 사용 등), 난방온도 2℃ 낮추고 냉방 2℃ 높이기 등 탄소지우기 10가지 수칙을 실천하는 것으로 시민과 함께하는 탄소중립 실천과 병행 추진해 캠퍼스 탄소 지우기 뿐만 아니라 시민 개개인의 탄소중립 실천 확산의 장을 마련하게 된다. 또, 탄소지움 캠퍼스 선포와 더불어 기후위기의 심각성을 알리고 탄소중립의 필요성을 강조하기 위해 15~16일 양일간 온실가스 1인 1톤 줄이기 실천 서약과 탄소중립포인트제 가입 등을 적극 유도하기 위해 홍보부스를 운영했다. 이어, 마산대학교에 환경교육을 실시해 탄소중립 자발적 실천 유도·확산을 이끌고 탄소중립 인식 전환의 계기를 마련한다는 계획이다. 창원시 정숙이 기후환경국장은 ""마산대학교와 추진하는 탄소지움 캠퍼스가 조기에 정착하고 향후 2호, 3호 탄소지움 캠퍼스가 추진될 수 있도록 학생 및 교직원 여러분의 적극 동참이 필요하다""며 ""생활 속 탄소중립 실천을 잘 이행하고 넷제로 선도도시 창원 조성에 많은 협조를 당부한다""고 말했다. 창원시 제공 ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요. 이메일 : jebo@cbs.co.kr 카카오톡 : @노컷뉴스 사이트 : https://url.kr/b71afn",https://n.news.naver.com/mnews/article/079/0003864761?sid=102
"'유럽판 IRA' 탄소중립산업법, EU 27개국 최종 승인","벨기에 브뤼셀에 위치한 유럽연합(EU) 본부. 유럽판 인플레이션감축법(IRA)으로 불리는 탄소중립산업법(NZIA)을 유럽연합(EU) 27개국이 최종 승인했다. 16일(현지 시각) EU 상반기 순환의장국인 벨기에 정부는 엑스(X)에 27개국 상주대표 대사들이 탄소중립산업법 최종안을 채택했다고 발표했다. 지난 7일 EU 이사회와 유럽의회, 집행위는 탄소중립산업법에 대한 3자 협상을 타결한 바 있다. 이에 따라 유럽의회의 승인만 받으면 법 시행이 확정된다. 탄소중립산업법은 미국의 인플레이션감축법(IRA)과 중국의 보조금 정책에 맞서서 유럽산 제품을 육성하기 위해 탄생했다. 최종안에 담긴 내용을 보면 전략적 탄소중립 기술을 별도로 지정해서 패스트트랙을 허가하고, 보조금 지급 요건을 완화하는 등의 내용이 있다. 원자력 발전 기술도 태양광, 배터리, 탄소 포집·저장 기술과 함께 전략적 기술 목록에 포함된 것으로 전해진다. 초안을 만든 집행위가 원전 기술을 탄소중립에 포함하는 데 부정적이었지만, 이사회와 유럽의회가 요구하면서 최종적으로 추가됐다. 공공 조달 입찰 시에는 특정 EU 역외 국가 제품이 50%를 넘어서는 안 된다.",https://n.news.naver.com/mnews/article/366/0000970962?sid=104
"고리원자력·부산과학관, 탄소중립 전시관 조성 합심","이광훈 한국수력원자력 고리원자력본부장(왼쪽)과 김영환 국립부산과학관장이 기념촬영하고 있다. 한국수력원자력 고리원자력본부 제공 한국수력원자력 고리원자력본부(본부장 이광훈)는 지난 15일 부산 기장 고리원자력본부 홍보관에서 국립부산과학관(관장 김영환)과 미래형 탄소중립 에너지 전시관 공동 구축을 위한 업무협약을 체결했다고 18일 밝혔다. 두 기관은 탄소중립을 위한 목표 달성과 에너지 수급 문제 해결을 위한 미래도시 플랫폼 'i-SMR(혁신형소형원자로) 스마트넷제로시티(Smart Net-zero City·SSNC)' 전시물을 공동 구축하는 데 적극 협력하기로 했다. 주요 협약내용은 국립부산과학관 내 미래도시 SSNC 등 전시물 공동 구축·운영, 두 기관의 발전과 홍보를 위한 상호협력 지원 등이다. 지난해 12월 아랍에미리트(UAE)에서 개최된 유엔기후변화협약당사국총회(COP28)에서 한국수력원자력이 소개한 바 있는 SSNC는 에너지 효율이 뛰어나고 전력 생산 과정에서 온실가스를 배출하지 않아 친환경 미래 에너지원으로 각광받는 SMR과 재생에너지가 조화를 이루는 미래도시 플랫폼이다.",https://n.news.naver.com/mnews/article/014/0005143798?sid=102
"여야가 모신 기후환경 인재들 ""탄소중립 말만 말고 실천할 정치인 나서야""","<국민의힘·더불어민주당 영입인재 인터뷰> 與 정혜림 SK경영경제연 리서치펠로우 ""무탄소전환 목표 협치 분위기 조성 중요"" 野 박지혜 기후환경 전문변호사 ""기업 역할 독려할 사회적 요구 모아야"" 더불어민주당 기후분야 영입인재 박지혜(왼쪽) 변호사, 국민의힘 기후분야 영입인재 정혜림 전 리서치펠로우가 지난 8일 서울 중구 한국일보사에서 대담하고 있다. 윤서영 인턴기자 정치권에 4월 총선 준비의 시동이 걸린 지난해 12월. 더불어민주당은 기후·환경 전문변호사인 박지혜(46)씨를 1호 인재로 영입했다. 일주일쯤 지나 여당인 국민의힘이 제2차 영입을 통해 기후환경 분야 인재인 정혜림(32) 전 SK경영경제연구소 리서치펠로우를 공개했다. 국민의힘이 기후 분야 인재를 영입한 최초 사례다. 여야가 총선을 앞두고 앞다퉈 기후 분야 인재를 영입한 것은 정치권에서 기후의제가 중요한 관심사로 부상했다는 신호다. 그동안 '장기 과제'로 취급되며 뒷전으로 밀렸지만, 이제는 기후위기를 막을 골든타임으로 꼽히는 2030년이 코앞에 다가온 데다 글로벌 탄소무역장벽 강화에 따른 산업 적응의 필요성이 커지고 있기 때문이다. 양당 영입인재들은 지난 8일 함께 한국일보와 인터뷰를 갖고 “22대 국회의 중요성을 절감하고 정치에 입문하게 됐다”고 말했다. 22대 국회의 임기는 2028년 5월까지로, 기후위기 대응을 위한 국가 핵심목표인 2030년 온실가스감축목표(NDC)를 본격적으로 달성해야 하는 시기다. 국회의 결정 하나하나에 따라 탄소감축 속도가 달라질 수밖에 없다. 박 변호사는 “21대 국회가 탄소중립을 위한 큰 목표를 세우는 단계였다면, 다음 국회는 세부 과제를 이행할 일꾼이 많아져야 한다고 생각해 인재 영입 제안을 수락했다”고 말했다. 정 전  펠로우 역시 “목표 이행에 속도를 내려면 여당에서 기후어젠다에 더 적극적으로 나서야 하는데, 내가 전문성을 살려 그 역할을 할 수 있을 거라 생각했다”고 말했다. 소속 정당도 세대도 다른 두 사람이지만 정치에 이르기까지의 배경은 사뭇 비슷하다. “중·고등학교 때부터 지구온난화에 대응하는 것이 꿈이었다”는 정씨는 환경공학과 녹색경영정책을 전공한 뒤 SK경영경제연구소에서 녹색산업전략을 연구했다. “산업 전환을 통한 탄소감축이 가장 효과적인 방식”이라고 생각해 택한 길이다. 박 변호사 역시 학창 시절부터 갖고 있던 환경에 대한 관심을 이어 SK텔레콤에서 사회책임(CSR) 및 환경경영을 담당했다. “사회의 여러 주체 중 기업이 하는 역할이 바뀌면 환경문제를 해결하는 데 도움이 될 것”이라는 믿음이었다. 그러나 기업이 이윤을 넘어 더 적극적인 역할을 하려면 더 뾰족한 사회적 요구가 있어야 된다는 것을 깨닫고 로스쿨에 진학해 환경전문 변호사가 됐다. 그가 변호를 맡은 2018년 ‘삼척 석탄화력발전소 승인 처분 취소 소송’은 국내 기후변화소송의 첫 사례로 꼽힌다. 두 사람 모두 탄소중립에서 산업 부문의 전환을 중요하게 생각하지만 각론은 다르다. 박 변호사는 “윤석열 정부가 지난해 발표한 탄소중립녹색성장기본계획은 산업 부문의 탄소감축 과제를 낮추고 실질적인 감축목표도 임기 이후인 2027년 후반으로 미뤘다”며 “탄소감축을 뒤로 미뤄도 된다는 부정적인 시그널을 준 것”이라고 말했다. 반면 정 전 펠로우는 “기본계획은 기업이 이행할 수 있는 수준으로 감축목표를 현실화했다는 점에서 의미가 있다”며 “시점을 유예하는 대신 기업들이 그때까지 목표를 달성할 수 있도록 전환을 지원해주는 것이 핵심”이라고 말했다. 박 변호사는 국회에 입성할 경우 ‘탈석탄 정책 2.0’ 추진에 공을 들일 예정이다. “21대 국회에서도 석탄발전소 조기 폐쇄 관련 논의가 있었지만, 전력발전량이 줄어드는 상황에서 이를 실제로 어떤 방법으로 줄여나갈 것인지 전략이 필요하다”는 이유에서다. 정 전 펠로우는 기후어젠다에 대한 협치 분위기를 만드는 데 노력하겠다고 밝혔다. 그는 “기후 문제는 목표가 정해져 있음에도 정쟁화돼 오히려 젊은 세대의 피로감을 자극해왔다”며 “유일한 정답이 없는 만큼 무탄소 전환을 늘린다는 큰 목표하에 여러 정당이 뜻을 같이할 방법을 모색하겠다”고 말했다.",https://n.news.naver.com/mnews/article/469/0000786071?sid=103
'탄소중립전환' 사업 참여기업 모집…최대 3억까지 지원,"저탄소 공정전환 중소기업 100개사 내외 선정 기초·고도화 트랙 모두 기업당 최대 3억원 지원 [서울=뉴시스] 중소벤처기업부(중기부) 현판. (사진=뉴시스 DB). photo@newsis.com [서울=뉴시스]이수정 기자 = 중소벤처기업부(중기부)는 '2024년 중소기업 탄소중립전환지원 사업' 참여기업을 모집한다고 13일 밝혔다. 모집기한은 오는 19일부터 3월8일까지다. 이번 사업은 글로벌 기업의 공급망 탄소관리 강화에 따라 저탄소 공정전환이 시급한 중소기업의 탄소감축설비 투자를 지원해 저탄소 공정전환 선도사례 창출 및 탄소중립 분위기 확산을 도모하고자 2022년부터 추진 중이다. 국내 탄소감축 규제 대상이 아닌 중소기업을 대상으로 실시설계, 탄소저감 설비도입 등을 원스톱 패키지로 지원한다. 모집 대상은 기초 트랙 및 고도화 트랙으로 나뉘며, 양 트랙 모두 기업당 최대 3억원을 지원하고 기초트랙은 보조율 50%, 고도화트랙은 70% 이내이다. 1차 금속 제조업, 금속 가공제품 제조업, 비금속 광물제품 제조업 등 탄소多배출업종 영위기업 등은 가점부여를 통해 선정 시 우대한다. 올해 지원 규모는 작년에 비해 2배 이상 확대된 100여개사 내외다. 고도화트랙 참여기업 대상에 기술보증기금 넷-제로 멤버스 참여 기업을 추가해 다양화한다. 자세한 내용 확인 및 신청은 ESG통합플랫폼에서 가능하다. 김우순 중기부 기술혁신정책관은 ""해외 탄소관련 무역장벽 뿐 아니라 국가 온실가스 감축목표(NDC)로 인해 중소기업도 탄소중립 시대를 적극적으로 대비할 필요가 있다""며 ""국내·외 탄소 관련 제도에 대응할 인력·자본·정보가 상대적으로 부족한 중소기업의 탄소중립 전환을 지속 지원하겠다""고 말했다．",https://n.news.naver.com/mnews/article/003/0012369867?sid=101
